"organization","isin","bbid","ticker","country_hq"
"Medtronic, Inc.","US5850551061","EQ0010097200001000","MDT US","USA"
"MEERAPFEL",,,,"Switzerland"
"Meggitt","GB0005758098","EQ0011194600001000","MGGT LN","United Kingdom"
"Meihua",,,,"China"
"Merck & Co., Inc.","US58933Y1055","EQ0010097800001000","MRK US","USA"
"METALURGICA CEMBRANOS S.A.",,,,"Spain"
"Metsä Board","FI0009000665","EQ0011665700003000","METSB FH","Finland"
"MHI EQUIPMENT EUROPE",,,,"Netherlands"
"Micrel Semiconductor",,,,"USA"
"Micron Technology, Inc.","US5951121038","EQ0010099500001000","MU US","USA"
"Microsemi Frequency and Time Corporation",,,,"USA"
"Microsoft Corporation","US5949181045","EQ0010174300001000","MSFT US","USA"
"Micro-Star International Co, Inc","TW0002377009","EQ0033074900001000","2377 TT","Taiwan"
"MINIATURE PRECISION COMP.",,,,"USA"
"Mitac International","TW0002315009","EQ0012958200001000",,"Taiwan"
"Mitsubishi Chemical Holdings Corporation","JP3897700005","EQ0000000001961721","4188 JP","Japan"
"Mitsubishi Electric Corporation","JP3902400005","EQ0011415200001000","6503 JP","Japan"
"Mitsubishi Heavy Industries, Ltd.","JP3900000005","EQ0011415500001000","7011 JP","Japan"
"Molex Incorporated","US6085541018","EQ0010174500001000",,"USA"
"Mondelez International Inc","US6092071058","EQ0117656400001000","MDLZ US","USA"
"Morgan Advanced Materials","GB0006027295","EQ0011237600001000","MGAM LN","United Kingdom"
"MOTORES Y APARATOS ELECTRICOS DE DURANGO SA DE CV.",,,,"Mexico"
"Motorola Solutions","US6200763075","EQ0010102100001000","MSI US","USA"
"Mubea Group",,,,"USA"
"Murata Mfg. Co.","JP3914400001","EQ0011422000001000","6981 JP","Japan"
"MURRAY GOULBURN CO-OPERATIVE CO LIMITED",,,,"Australia"
"Naga Dets Ltd",,,,"India"
"NAGARES. S.A.",,,,"Spain"
"Nampak Ltd","ZAE000071676","EQ0013047400001000","NPK SJ","South Africa"
"Nanya Technology Corp","TW0002408002","EQ0145928100001000","2408 TT","Taiwan"
"National Grid","GB00B08SNH34","EQ0017956300001000","NG/ LN","United Kingdom"
"NAVARRA DE ESTAMPACION E INYECCION S.A.",,,,"Spain"
"Navistar International Corporation","US63934E1082","EQ0010105200001000","NAV US","USA"
"NEBULA HOME PRODUCTS PVT LTD",,,,"India"
"Nestlé","CH0038863350","EQ0011257100002000","NESN VX","Switzerland"
"NetApp Inc.","US64110D1046","EQ0017135100001000","NTAP US","USA"
"Netcare Limited","ZAE000011953","EQ0020127700001000","NTC SJ","South Africa"
"NetPower Technologies",,,,"USA"
"Newcrest Mining","AU000000NCM7","EQ0011295800001000","NCM AU","Australia"
"NITTAN VALVE CO.LTD.",,,,"Japan"
"Noble Energy, Inc.","US6550441058","EQ0010107600001000","NBL US","USA"
"NOK Corporation","JP3164800009","EQ0011446500001000","7240 JP","Japan"
"Nokia Group","FI0009000681","EQ0011579000001000","NOK1V FH","Finland"
"Norsk Hydro","NO0005052605","EQ0010107900001000","NHY NO","Norway"
"Northam Platinum Ltd","ZAE000030912","EQ0011202300001002","NHM SJ","South Africa"
"Novartis","CH0012005267","EQ0018058000002000","NOVN VX","Switzerland"
"Novatek","RU000A0DKVS5","EQ0000000029072313","NVTK RM","Russia"
"Novelis Inc.",,,,"USA"
"Novozymes A/S","DK0060336014","EQ0088518400001000","NZYMB DC","Denmark"
"NTN Corporation","JP3165600002","EQ0011447400001000","6472 JP","Japan"
"NUCERIA ADESIVI SRL",,,,"Italy"
"Nutrex",,,,"Switzerland"
"Obrascon Huarte Lain (OHL)","ES0142090317","EQ0012716000001000","OHL SM","Spain"
"Occidental Petroleum Corporation","US6745991058","EQ0010110600001000","OXY US","USA"
"Olam International","SG1Q75923504","EQ0000000001547158","OLAM SP","Singapore"
"Olympus Corporation","JP3201200007","EQ0011450900001000","7733 JP","Japan"
"OMRON Corporation","JP3197800000","EQ0011451100001000","6645 JP","Japan"
"Ono Pharmaceutical Co., Ltd.","JP3197600004","EQ0011451400001000","4528 JT","Japan"
"Oplink Communications Inc.","US68375Q4038","EQ0118272800001000","OPLK US","China"
"Oriclean",,,,"India"
"OTSCON COMPANY",,,,"USA"
"Owens Corning","US6907421019","EQ0000000002812689","OC US","USA"
"Owens-Illinois","US6907684038","EQ0010113600001000","OI US","USA"
"Pall Corporation","US6964293079","EQ0010614400001000","PLL US","USA"
"Parker-Hannifin Corporation","US7010941042","EQ0010114900001000","PH US","USA"
"PARKSIDE INTERNATIONAL",,,,"United Kingdom"
"Parsons Brinckerhoff Limited",,"EQ0000000004161986","PRIV","United Kingdom"
"Pearson","GB0006776081","EQ0011206700001000","PSON LN","United Kingdom"
"PENDA CORPORATION",,,,"USA"
"PepsiCo, Inc.","US7134481081","EQ0010115800001000","PEP US","USA"
"PerkinElmer, Inc.","US7140461093","EQ0010050300001000","PKI US","USA"
"Pernod Ricard","FR0000120693","EQ0011546100001000","RI FP","France"
"Pfizer Inc.","US7170811035","EQ0010116600001000","PFE US","USA"
"Philip Morris International","US7181721090","EQ0000000004302454","PM US","USA"
"Philips & Lite-On Digital Solutions Corp.",,,,"Taiwan"
"Pioneer International",,,,"India"
"Piston Automotive",,,,"USA"
"POLIMEROS DEL URETANO S.A. DE C.V.",,,,"Mexico"
"PONZINI SPA",,,,"Italy"
"Porton",,,,"China"
"POSCO","KR7005490008","EQ0012930900001000","005490 KS","South Korea"
"PPG Industries, Inc.","US6935061076","EQ0010120400001000","PPG US","USA"
"PREH HOLDING GMBH",,,,"Germany"
"Premium Tobacco",,,,"British Virgin Islands"
"Prime Health Care Products",,,,"India"
"PSE TECHNOLOGY CORPORATION",,,,"Taiwan"
"Qisda","TW0002352002","EQ0019332000001000","2352 TT","Taiwan"
"QLogic Corp.","US7472771010","EQ0013627300001000","QLGC US","USA"
"QP",,,,"South Africa"
"QUALCOMM Inc.","US7475251036","EQ0010637000001000","QCOM US","USA"
"Quanta Computer","TW0002382009","EQ0033054100001000","2382 TT","Taiwan"
"RALTRON",,,,"USA"
"RAR Group",,,,"Brazil"
"Raytheon Company","US7551115071","EQ0010124300003000","RTN US","USA"
"REDPATH",,,,"Canada"
"Reed Elsevier Group","GB00B2B0DG97","EQ0011216100001000","REL LN","United Kingdom"
"REFLEX PACKAGING INC",,,,"USA"
"REHAU INCORPORATED",,,,"Germany"
"Renault","FR0000131906","EQ0011547600001000","RNO FP","France"
"Renesas Electronics Corporation","JP3164720009","EQ0000000000627515","6723 JT","Japan"
"Resolute Forest Products Inc.","US0036871004","EQ0000000004959406","RFP CN","Canada"
"Reunert","ZAE000057428","EQ0013055300001000","RLO SJ","South Africa"
"Reynders Label Printing",,"EQ0000000010718918","PRIV","Belgium"
"Ricoh Co., Ltd.","JP3973400009","EQ0011456600001000","7752 JP","Japan"
"Rio Tinto","GB0007188757","EQ0010128600001000","RIO LN","United Kingdom"
"RM Chemicals",,,,"India"
"Roche Holding AG","CH0012032048","EQ0011578500008000","ROG VX","Switzerland"
"Rockwell Automation","US7739031091","EQ0020253700001000","ROK US","USA"
"RODFAM HOLDINGS LTD",,,,"Canada"
"Roechling Automotive",,,,"Italy"
"RONG HUA(QING YUAN) OFFSET PRINTING",,,,"China"
"Royal Bafokeng Platinum Ltd","ZAE000149936","EQ0000000011477887","RBP SJ","South Africa"
"Royal BAM Group nv","NL0000337319","EQ0011598100001000","BAMNB NA","Netherlands"
"Royal Philips","NL0000009538","EQ0010117300001000","PHIA NA","Netherlands"
"Rudraksh Detergent & Chemicals Pvt. Ltd",,,,"India"
"RWE AG","DE0007037129","EQ0011567500001000","RWE GR","Germany"
"SABLE CORPORATION",,,,"Taiwan"
"SABMiller","GB0004835483","EQ0038662800001000","SAB LN","United Kingdom"
"Sachet",,,,"South Africa"
"Saint-Gobain","FR0000125007","EQ0011530400001000","SGO FP","France"
"Samsung Engineering","KR7028050003","EQ0019397300001000","028050 KS","South Korea"
"Sanden",,,,"Japan"
"Sanifoam",,,,"Turkey"
"SANKO SHOJI CO. LTD.",,,,"Japan"
"Sanlam","ZAE000070660","EQ0037697600001000","SLM SJ","South Africa"
"Sanmina-SCI Corporation","US8009071072",,,"USA"
"SANOFI","FR0000120578","EQ0081556100001000","SAN FP","France"
"Santos","AU000000STO6","EQ0011304100001000","STO AU","Australia"
"Sanyo Denki America Inc",,"EQ0000000022428318",,"USA"
"SAP AG","DE0007164600","EQ0011841200001000","SAP GR","Germany"
"Sappi","ZAE000006284","EQ0011221200001002","SAP SJ","South Africa"
"Sasol Limited","ZAE000006896","EQ0011221300001001","SOL SJ","South Africa"
"Schneider Logistics",,,,"USA"
"SCHWAN-STABILO COSMETICS",,,,"Germany"
"Seagate Technology LLC","IE00B58JVZ52","EQ0000000000171872","STX US","USA"
"Secom Co., Ltd.","JP3421800008","EQ0011466000001000","9735 JP","Japan"
"Sega Sammy Holdings Inc.","JP3419050004","EQ0000000001304429","6460 JP","Japan"
"Sekisui Chemical Co., Ltd.","JP3419400001","EQ0011467600001000","4204 JP","Japan"
"Sempra Energy","US8168511090","EQ0035024500001000","SRE US","USA"
"SerCom Solutions",,,,"Ireland"
"SESIC",,,,"Egypt"
"Seven & I Holdings Co., Ltd.","JP3422950000","EQ0000000001906160","3382 JP","Japan"
"SGF (SUEDDEUTSCH GELENKSCHEIBEN)",,,,"Germany"
"Shakti - Tea",,,,"India"
"SHAPE CORP",,,,"USA"
"Sharp Global Ltd",,,,"India"
"Sherwin-Williams Company","US8243481061","EQ0010134100001000","SHW US","USA"
"Shire","JE00B2QKY057","EQ0017994100001000","SHP LN","Ireland"
"Shiseido Co., Ltd.","JP3351600006","EQ0011474000001000","4911 JP","Japan"
"Siemens Aktiengesellschaft","DE0007236101","EQ0011574600001000","SIE GR","Germany"
"Sigma-Aldrich Corporation","US8265521018","EQ0010176600001000","SIAL US","USA"
"Sika Services AG","CH0000587979","EQ0011797600001000","SIK VX","Switzerland"
"Silicon Laboratories","US8269191024","EQ0117642600001000","SLAB US","USA"
"Simplo Technology Co Ltd","TW0006121007","EQ0757991300001000","6121 TT","Taiwan"
"Sims Metal Management","AU000000SGM7","EQ0011304800001000","SGM AU","Australia"
"SMART Modular Technologies",,,,"Malaysia"
"SM Investments","PHY806761029","EQ0020941500001000","SM PM","Philippines"
"Smithfield Foods, Inc.","US8322481081","EQ0010678000001000",,"USA"
"Smurfit Kappa Group PLC","IE00B1RR8406","EQ0000000003349681","SKG ID","Ireland"
"Snam S.P.A","IT0003153415","EQ0726285800001000","SRG IM","Italy"
"Solvay S.A.","BE0003470755","EQ0011575300001000","SOLB BB","Belgium"
"Sony Corporation","JP3435000009","EQ0010136500001000","6758 JP","Japan"
"South African Post Office",,,"NOT FOUND","South Africa"
"Sprint Nextel Corporation","US85207U1051","EQ0000000030786031","S US","USA"
"Stadco",,,,"United Kingdom"
"ST ALBANS CO-OPERATIVE CREAMERY INC",,,,"USA"
"Stanley Black & Decker, Inc.","US8545021011","EQ0010139700001000","SWK US","USA"
"Staples, Inc.","US8550301027","EQ0010697300001000","SPLS US","USA"
"Starbucks Corporation","US8552441094","EQ0010669100001000","SBUX US","USA"
"Starwood Hotels & Resorts Worldwide, Inc","US85590A4013","EQ0010075600001000","HOT US","USA"
"Statoil ASA","NO0010096985","EQ0018207400001000","STL NO","Norway"
"STEEL STRIPS WHEELS LTD",,,,"India"
"STEFANINI",,,,"Brazil"
"STENTA FILMS MALAYSIA SENDIRIAN BERHAD",,,,"Malaysia"
"Stepan Company",,,,"USA"
"STG OTOMOTIV SAN VE TIC A.S",,,,"Turkey"
"Sudesan",,,,"Turkey"
"Summit",,,,"USA"
"SUMMIT AUTO BODY INDUSTRY CO. LTD",,,,"Thailand"
"Suncor Energy Inc.","CA8672241079","EQ0011063100001000","SU CN","Canada"
"SUN FOODS AGROINDL C OESTE LTDA",,,,"Brazil"
"Sun International Ltd","ZAE000097580","EQ0013038600001000","SUI SJ","South Africa"
"Sunrex",,,,"Taiwan"
"Surefil LLC",,,,"USA"
"Suzhou Fulfil Electronics Co., Ltd",,,,"China"
"Swaraj Techno",,,,"India"
"Symantec Corporation","US8715031089","EQ0010715200001000","SYMC US","USA"
"Symrise AG","DE000SYM9999","EQ0000000000563402","SY1 GR","Germany"
"Syngenta International AG","CH0011037469","EQ0119704300001000","SYNN VX","Switzerland"
"Sysco Corporation","US8718291078","EQ0010143300001000","SYY US","USA"
"Taisei Corporation","JP3443600006","EQ0011485400001000","1801 JP","Japan"
"Taitwun",,,,"China"
"Taiwan Yuasa Battery Co., Ltd.",,,,"Taiwan"
"Takata Corporation","JP3457000002","EQ0000000000198557","7312 JP","Japan"
"Takeda Pharmaceutical Company Limited","JP3463000004","EQ0011488100001000","4502 JP","Japan"
"Target Corporation","US87612E1064","EQ0010043600001000","TGT US","USA"
"Tata Chemicals","INE092A01019","EQ0017435300001000","TTCH IN","India"
"Tata Steel","INE081A01012","EQ0015456100001000","TATA IN","India"
"Tata Steel Europe",,,,"United Kingdom"
"TB KAWASHIMA CO. LTD",,,,"Japan"
"TDK Corporation","JP3538800008","EQ0010144200001000","6762 JP","Japan"
"Tech Mahindra","INE669C01028","EQ0171212300001000","TECHM IN","India"
"Teck Resources Limited","CA8787422044","EQ0011068600003000","TCK/B CN","Canada"
"TE Connectivity","CH0102993182","EQ0000000003615686","TEL US","USA"
"Teradyne Inc.","US8807791038","EQ0010145500001000","TER US","USA"
"Tereos",,,,"France"
"Terichem",,,,"Slovakia"
"Terumo Corporation","GB0008847096","EQ0011237000001000","4543 JP","Japan"
"Tesa SE",,,,"Germany"
"Texas Instruments Incorporated","US8826811098","EQ0000000001107468","TXN US","USA"
"Texen",,,,"France"
"Textron Inc.","US87240R1077","EQ0000000000635771","TXT US","USA"
"The Coca-Cola Company",,"EQ0020198900001000","KO US","USA"
"The Dow Chemical Company",,"EQ0000000004162206","DOW US","USA"
"The Hershey Company","US4280402086","EQ0000000001811339","HSY US","USA"
"The Hertz Corporation","JP3783800000","EQ0011368600001000","UNLS","USA"
"The J.M. Smucker Company","JP3721400004","EQ0011384400001000","SJM US","USA"
"Thermo Fisher Scientific Inc.","US8835561023","EQ0010146600001000","TMO US","USA"
"Thermoflex Corporation",,,,"USA"
"The Southern Company","ZAE000058517","EQ0000000001333582","SO US","USA"
"Thibiant International, Inc.",,,,"USA"
"THK RHYTHM CO. LTD.",,,,"Japan"
"THUTHUKA packaging CTP gravure",,,,"South Africa"
"ThyssenKrupp AG","DE0007500001","EQ0081525300001000","TKA GR","Germany"
"Tiger Brands","ZAE000071080","EQ0011239300001001","TBS SJ","South Africa"
"TNT Express","NL0009739424","EQ0000000017233898","TNTE NA","Netherlands"
"TOKAIKOGYO CO. LTD.",,,,"Japan"
"Tongaat Hulett Ltd","ZAE000096541","EQ0011240300001001","TON SJ","South Africa"
"Top Victory Electronics(Fujian) Co. Ltd",,,,"China"
"Toshiba Corporation","JP3592200004","EQ0011505500001000","6502 JP","Japan"
"Toyobo Co., Ltd.","JP3619800000","EQ0011510900001000","3101 JP","Japan"
"Toyota Boshoku Corporation","JP3635400009","EQ0013269200001000","3116 JT","Japan"
"Toyota Industries Corporation","JP3634600005","EQ0011511000001000","6201 JP","Japan"
"Trans-Expedite Inc.",,"EQ0000000021900328",,"USA"
"TRANSFORMACIONES AGRICOLAS DE BADAJOZ S A",,,,"Spain"
"Travis Perkins","GB0007739609","EQ0011241800001000","TPK LN","United Kingdom"
"Treasury Wine Estates","AU000000TWE9","EQ0000000010341418","TWE AU","Australia"
"Trelleborg AB","SE0000114837","EQ0011578300003000","TRELB SS","Sweden"
"TREVES UK LIMITED",,,,"United Kingdom"
"Trillium Health Care",,,,"USA"
"Tupy SA",,,,"Brazil"
"Tutun",,,,"Turkey"
"UGN INC",,,,"USA"
"Uni-Charm Corporation","JP3951600000","EQ0011514000001000","8113 JP","Japan"
"Unigen",,,,"USA"
"Unilever plc","GB00B10RZP78","EQ0010153400001000","ULVR LN","United Kingdom"
"Union Pacific Corporation","US9078181081","EQ0010153900001000","UNP US","USA"
"UNIVERSAL CHEMICAL LTDA",,,,"Brazil"
"Universal Truckload Services, Inc.",,,,"USA"
"UPS","US9113121068","EQ0014302700001000","UPS US","USA"
"US Cotton",,,,"USA"
"Vaishnavi Kosmeticos Industries Private Limited",,,,"India"
"Vale","BRVALEACNOR0","EQ0013611700001000","VALE3 BZ","Brazil"
"Valeo Sa","FR0000130338","EQ0011555600001000","FR FP","France"
"VAN ROB INC",,,,"Canada"
"Varian Medical Systems Inc","US92220P1057","EQ0010159300001000","VAR US","USA"
"Varun Agro Processing",,,,"India"
"VECTRON",,,,"USA"
"Verbio AG","DE000A0JL9W6","EQ0000000002815178","VBK GR","Germany"
"Verizon Communications Inc.","US92343V1044","EQ0010018500001000","VZ US","USA"
"VFI",,,,"Austria"
"VIAM MANUFACTURING INC",,,,"USA"
"VICOR",,,,"USA"
"Vinci","FR0000125486","EQ0011550500001000","DG FP","France"
"Visteon","US92839U2069","EQ0000000011350553","VC US","USA"
"Vitesse Semiconductor, Corp.",,,,"USA"
"Vodafone Group","GB00BH4HKS39","EQ0010160500001000","VOD LN","United Kingdom"
"Volkswagen AG","DE0007664039","EQ0011575700100000","VOW3 GR","Germany"
"VOTOB",,,,"Indonesia"
"VPK ONDULYS",,,,"France"
"VRIJDAG PREMIUM PKG",,,,"Netherlands"
"Wacker Chemie AG","DE000WCH8881","EQ0015612600001000","WCH GR","Germany"
"Wal-Mart Stores, Inc.","US9311421039","EQ0010161600001000","WMT US","USA"
"Waste Management, Inc.","US94106L1098","EQ0010757000001000","WM US","USA"
"Waychein",,,,"China"
"Webasto",,,,"Germany"
"Wesfarmers","AU000000WES1","EQ0011312900001000","WES AU","Australia"
"Western Digital Corp","US9581021055","EQ0010164300001000","WDC US","USA"
"Western Union Co","US9598021098","EQ0000000002612568","WU US","USA"
"Whirlpool Corporation","US9633201069","EQ0010165500001000","WHR US","USA"
"Whole Foods Market, Inc.","US9668371068","EQ0010782300001000","WFM US","USA"
"Williamson Tea",,,,"United Kingdom"
"Wintec Industries",,,,"USA"
"Wistron Corp","TW0003231007","EQ0000000000699478","3231 TT","Taiwan"
"Woolworths Holdings Ltd","ZAE000063863","EQ0030709700001000","WHL SJ","South Africa"
"WOOSHIN SYSTEMS CO LTD",,,,"South Korea"
"WorleyParsons","AU000000WOR2","EQ0000000000382447","WOR AU","Australia"
"Wus",,,,"China"
"WuXi AppTec",,,,"China"
"Xylem Inc","US98419M1009","EQ0000000016530122","XYL US","USA"
"Xyratex Limited",,,,"United Kingdom"
"Yangzhou Fuping Living Supplies Factory",,,,"China"
"YASHIMA DENSOU CO. LTD.",,,,"Japan"
"Yokohama Rubber Company, Limited","JP3955800002","EQ0011519400001000","5101 JP","Japan"
"Yuan Deng Metal Industrial (Kunshan) Co.Ltd",,,,"China"
"ZCL Chemicals",,"EQ0000000010377915","PRIV","India"
"Zippak",,,,"United Kingdom"
"Zohar Dalia",,,,"Israel"
