"company_name","account_number","country","reporting_year","ticker_symbol","isin","disclosure_score","performance_band","parent_account","permission","response_status","scope_1_metric_tonnes_co2e","scope_2_metric_tonnes_co2e","country_location"
"Commonwealth Bank of Australia","3649","Australia","2011","CBA AU","AU000000CBA7","89","A",,"Public","AQ*","15073","236623","(-25.274398, 133.775136)"
"Mitsubishi Electric Corporation","12144","Japan","2011","6503 JP","JP3902400005","56","E",,"Public","AQ*","358000","842000","(36.204824, 138.252924)"
"Tencent Holdings","18544","Hong Kong","2011","700 HK","KYG875721485",,,,,"NR",,,"(22.396428, 114.109497)"
"Anheuser Busch InBev","22350","Belgium","2011","ABI BB","BE0003793107","77","B",,"Public","AQ*","2901360","1451801","(50.503887, 4.469936)"
"Nokia Group","13360","Finland","2011","NOK1V FH","FI0009000681","84","A-",,"Public","AQ*","20100","286400","(61.92411, 25.748151)"
"DNB ASA","21537","Norway","2011","DNB NO","NO0010031479","63","D",,"Public","AQ*","1176.06","10716.4","(60.472024, 8.468946)"
"Mitsui & Co., Ltd.","12272","Japan","2011","8031 JP","JP3893600001","59","D",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"NMDC","13390","India","2011","NMDC IN","INE584A01023",,,,,"NR",,,"(20.593684, 78.96288)"
"Kohl's Corporation","10233","USA","2011","KSS US","US5002551043","78","C",,"Public","AQ*","27062","832519","(37.09024, -95.712891)"
"Woodside Petroleum","20771","Australia","2011","WPL AU","AU000000WPL2","68","B",,"Public","AQ*","8304547","22282","(-25.274398, 133.775136)"
"General Electric Company","7166","USA","2011","GE US","US3696041033","73","C",,"Public","AQ*","2500000","3150000","(37.09024, -95.712891)"
"BHP Billiton","1808","United Kingdom","2011","BHP AU","AU000000BHP4","73","B",,"Public","AQ*","19591969","26139168","(55.378051, -3.435973)"
"Great-West Lifeco Inc.","7690","Canada","2011","GWO CN","CA39138C1068",,,"Power Financial Corporation","Not public","DP",,,"(56.130366, -106.346771)"
"Goldman Sachs Group Inc.","7599","USA","2011","GS US","US38141G1040","83","B",,"Public","AQ*","14645","336842","(37.09024, -95.712891)"
"CNOOC","3527","China","2011","883 HK","HK0883013259","32",,,"Public","AQ*","5860000",,"(35.86166, 104.195397)"
"General Dynamics Corporation","7147","USA","2011","GD US","US3695501086",,,,"Public","IN",,,"(37.09024, -95.712891)"
"Wilmar International Limited","20664","Singapore","2011","WIL SP","SG1T56930848",,,,"Public","IN",,,"(1.352083, 103.819836)"
"POSCO","14929","South Korea","2011","005490 KS","KR7005490008","89","A-",,"Public","AQ*","68705000","2974000","(35.907757, 127.766922)"
"EDF","5369","France","2011","EDF FP","FR0010242511","62","D",,"Public","AQ*","80575870","670700","(46.227638, 2.213749)"
"PTT Exploration & Production Public Company Limited","15294","Thailand","2011","PTTEP TB","TH0355A10Z04","69","D","PTT","Public","AQ*","3731455.09","1454.81","(15.870032, 100.992541)"
"Allergan, Inc.","533","USA","2011","AGN US","US0184901025","83","B",,"Public","AQ*","42674","52625","(37.09024, -95.712891)"
"Schlumberger Limited","16418","USA","2011","SLB US","AN8068571086","80","B",,"Public","AQ*","1610000","330000","(37.09024, -95.712891)"
"Compagnie Financière Richemont SA","3672","Switzerland","2011","CFR VX","CH0045039655","83","C",,"Not public","AQ*",,,"(46.818188, 8.227512)"
"Nestlé","12942","Switzerland","2011","NESN VX","CH0038863350","91","A-",,"Public","AQ*","3981400","3143998","(46.818188, 8.227512)"
"Time Warner Inc.","19119","USA","2011","TWX US","US8873173038","45",,,"Public","AQ*","24767","235851","(37.09024, -95.712891)"
"Nippon Steel & Sumitomo Metal Corporation","13338","Japan","2011","5401 JP","JP3381000003","84","C",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"TeliaSonera","18430","Sweden","2011","TLSN SS","SE0000667925","72","C",,"Public","AQ*","18154","245669","(60.128161, 18.643501)"
"Tyco International","19582","Switzerland","2011","TYC US","CH0100383485","66","C",,"Not public","AQ*",,,"(46.818188, 8.227512)"
"Banco Santander Chile","1427","Chile","2011","BSAN CI","CLP1506A1070",,,"Banco Santander",,"SA",,,"(-35.675147, -71.542969)"
"Bharat Heavy Electricals","1799","India","2011","BHEL IN","INE257A01026",,,,,"NR",,,"(20.593684, 78.96288)"
"JPMorgan Chase & Co.","9871","USA","2011","JPM US","US46625H1005","81","B",,"Public","AQ*","96034.4","1226197.1","(37.09024, -95.712891)"
"BASF SE","1516","Germany","2011","BAS GR","DE000BASF111","93","A",,"Public","AQ*","21312000","4389000","(51.165691, 10.451526)"
"Bayer AG","1581","Germany","2011","BAYN GR","DE000BAY0017","99","A",,"Public","AQ*","4800000","3700000","(51.165691, 10.451526)"
"Hyundai Motor","8708","South Korea","2011","005380 KS","KR7005380001","83","B",,"Public","AQ*","799295","1428339","(35.907757, 127.766922)"
"SAP AG","16339","Germany","2011","SAP GR","DE0007164600","96","A",,"Public","AQ*","136003","125030","(51.165691, 10.451526)"
"BNP Paribas","1907","France","2011","BNP FP","FR0000131104","78","C",,"Public","AQ*","86808","448705","(46.227638, 2.213749)"
"Itaú Unibanco Holding S.A.","9578","Brazil","2011","ITUB4 BZ","BRITUBACNPR1","72","C",,"Public","AQ*","3648.9","30546.7","(-14.235004, -51.92528)"
"State Bank of India","22352","India","2011","SBIN IN","INE062A01012","24",,,"Public","AQ*",,,"(20.593684, 78.96288)"
"Centrica","3042","United Kingdom","2011","CNA LN","GB00B033F229","96","A-",,"Public","AQ*","10559082","155877","(55.378051, -3.435973)"
"LG Chem","10667","South Korea","2011","051910 KS","KR7051910008","78","B",,"Public","AQ*","4200586","1583527","(35.907757, 127.766922)"
"Telefonica","18427","Spain","2011","TEF SM","ES0178430E18","90","B",,"Public","AQ*","126652","1688147","(40.463667, -3.74922)"
"American Electric Power Company, Inc.","689","USA","2011","AEP US","US0255371017","75","C",,"Public","AQ*","138294800",,"(37.09024, -95.712891)"
"Genting Singapore","31394","Singapore","2011","GENS SP","GB0043620292",,,,,"NR",,,"(1.352083, 103.819836)"
"Iberdrola SA","8698","Spain","2011","IBE SM","ES0144580Y14","78","C",,"Public","AQ*","39939109","6232560","(40.463667, -3.74922)"
"HTC Corporation","22918","Taiwan","2011","2498 TT","TW0002498003","27",,,"Not public","AQ*",,,"(23.69781, 120.960515)"
"Kraft Foods","10312","USA","2011","KRFT US","US50076Q1067","86","C",,"Public","AQ*","1468901","1850495","(37.09024, -95.712891)"
"America Movil","645","Mexico","2011","AMXL MM","MXP001691213",,,,,"NR",,,"(23.634501, -102.552784)"
"Microsoft Corporation","11930","USA","2011","MSFT US","US5949181045","81","B",,"Public","AQ*","47383","1144271","(37.09024, -95.712891)"
"Samsung Life Insurance","16272","South Korea","2011","032830 KS","KR7032830002",,,,"Not public","DP",,,"(35.907757, 127.766922)"
"Halliburton Company","8027","USA","2011","HAL US","US4062161017","54","E",,"Public","AQ*","4020000",,"(37.09024, -95.712891)"
"BMW AG","1932","Germany","2011","BMW GR","DE0005190003","96","A",,"Public","AQ*","409911","933097","(51.165691, 10.451526)"
"Syngenta International AG","18141","Switzerland","2011","SYNN VX","CH0011037469","88","B",,"Public","AQ*","684000","301000","(46.818188, 8.227512)"
"Target Corporation","18320","USA","2011","TGT US","US87612E1064","77","C",,"Public","AQ*","414968","2714973","(37.09024, -95.712891)"
"Carnival Corporation","2870","United Kingdom","2011","CCL US","PA1436583006","88","B",,"Public","AQ*","10700267","48370","(55.378051, -3.435973)"
"FedEx Corporation","6287","USA","2011","FDX US","US31428X1063","50","D",,"Public","AQ*","13152895","996872","(37.09024, -95.712891)"
"Statoil ASA","23132","Norway","2011","STL NO","NO0010096985","60","E",,"Public","AQ*","14179708","227613","(60.472024, 8.468946)"
"Natixis SA","12874","France","2011","KN FP","FR0000120685","61","E",,"Public","AQ*","499","14962","(46.227638, 2.213749)"
"RWE AG","16036","Germany","2011","RWE GR","DE0007037129","85","B",,"Public","AQ*","167100000","3100000","(51.165691, 10.451526)"
"Bank of America","1452","USA","2011","BAC US","US0605051046","97","A",,"Public","AQ*","119760","1752453","(37.09024, -95.712891)"
"UnitedHealth Group Inc","19858","USA","2011","UNH US","US91324P1021","74","D",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Citigroup Inc.","3398","USA","2011","C US","US1729674242","70","B",,"Public","AQ*","43116.32","1141732.45","(37.09024, -95.712891)"
"McDonald's Corporation","11581","USA","2011","MCD US","US5801351017","32",,,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Wesfarmers","20592","Australia","2011","WES AU","AU000000WES1","66","B",,"Public","AQ*",,,"(-25.274398, 133.775136)"
"Grupo Mexico S.A.B. de CV","7834","Mexico","2011","GMEXICOB MM","MXP370841019",,,,,"NR",,,"(23.634501, -102.552784)"
"Jardine Matheson","9728","Hong Kong","2011","JM SP","BMG507361001",,,,"Not public","DP",,,"(22.396428, 114.109497)"
"CaixaBank","4081","Spain","2011","CABK SM","ES0140609019","54","C",,"Public","AQ*",,"360","(40.463667, -3.74922)"
"Tokio Marine Holdings, Inc.","19184","Japan","2011","8766 JP","JP3910660004","79","B",,"Public","AQ*","17129","52016","(36.204824, 138.252924)"
"Honda Motor Company","8566","Japan","2011","7267 JP","JP3854600008","95","A",,"Public","AQ*","1418000","2947000","(36.204824, 138.252924)"
"Australia and New Zealand Banking Group","1187","Australia","2011","ANZ AU","AU000000ANZ3","89","B",,"Public","AQ*","18278","202299","(-25.274398, 133.775136)"
"Bristol-Myers Squibb","2191","USA","2011","BMY US","US1101221083","76","D",,"Public","AQ*","253398","270791","(37.09024, -95.712891)"
"S.A.C.I. Falabella","16080","Chile","2011","FALAB CI","CLP3880F1085",,,,,"NR",,,"(-35.675147, -71.542969)"
"Wal Mart de Mexico","20332","Mexico","2011","WALMEXV MM","MXP810081010","51","D","Wal-Mart Stores, Inc.","Public","AQ*","477449","545671","(23.634501, -102.552784)"
"PNC Financial Services Group, Inc.","14830","USA","2011","PNC US","US6934751057","75","B",,"Public","AQ*","44700","324951","(37.09024, -95.712891)"
"Linde AG","22158","Germany","2011","LIN GR","DE0006483001","63","C",,"Public","AQ*","5830000","9520000","(51.165691, 10.451526)"
"BAE Systems","1344","United Kingdom","2011","BA/ LN","GB0002634946","56","E",,"Not public","AQ*",,,"(55.378051, -3.435973)"
"Daimler AG","4235","Germany","2011","DAI GR","DE0007100000","78","B",,"Public","AQ*","1063986","2635116","(51.165691, 10.451526)"
"Intesa Sanpaolo S.p.A","9363","Italy","2011","ISP IM","IT0000072618","68","C",,"Public","AQ*","55444","63795","(41.87194, 12.56738)"
"Medtronic, Inc.","11651","USA","2011","MDT US","US5850551061","43",,,"Public","AQ*","25040","211657","(37.09024, -95.712891)"
"SoftBank Corporation","17344","Japan","2011","9984 JP","JP3436100006",,,,"Not public","DP",,,"(36.204824, 138.252924)"
"Kinross Gold Corporation","10175","Canada","2011","K CN","CA4969024047","73","D",,"Public","AQ*","570404","555090","(56.130366, -106.346771)"
"Eni SpA","5634","Italy","2011","ENI IM","IT0003132476","83","B",,"Public","AQ*","60676123","1885842","(41.87194, 12.56738)"
"Novo Nordisk A/S","13520","Denmark","2011","NOVOB DC","DK0060102614","89","B",,"Public","AQ*","47562","131900","(56.26392, 9.501785)"
"Societe Generale","17320","France","2011","GLE FP","FR0000130809","66","D",,"Public","AQ*","28115","173443","(46.227638, 2.213749)"
"Yum! Brands, Inc.","20917","USA","2011","YUM US","US9884981013","61","D",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Credit Agricole","4050","France","2011","ACA FP","FR0000045072","57","D",,"Public","AQ*","757","9856","(46.227638, 2.213749)"
"Illinois Tool Works, Inc.","8858","USA","2011","ITW US","US4523081093","75","C",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"PETROCHINA Company Limited","14653","China","2011","857 HK","CNE1000003W8",,,,"Public","IN",,,"(35.86166, 104.195397)"
"Danaher Corporation","4289","USA","2011","DHR US","US2358511028","10",,,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Comcast Corporation","3635","USA","2011","CMCSA US","US20030N1019",,,,"Public","DP",,,"(37.09024, -95.712891)"
"American Tower Corp.","706","USA","2011","AMT US","US03027X1000","63","C",,"Public","AQ*","5819.79","138559.55","(37.09024, -95.712891)"
"Public Service Enterprise Group Inc.","15271","USA","2011","PEG US","US7445731067","79","C",,"Public","AQ*","22893828","1250417","(37.09024, -95.712891)"
"Transocean Ltd.","19314","Switzerland","2011","RIGN VX","CH0048265513","71","C",,"Public","AQ*","1761738","6664","(46.818188, 8.227512)"
"Best Buy Co., Inc.","1693","USA","2011","BBY US","US0865161014","70","B",,"Public","AQ*","236170","704526","(37.09024, -95.712891)"
"China Mobile","3229","China","2011","941 HK","HK0941009539",,,,,"NR",,,"(35.86166, 104.195397)"
"Dow Chemical Company","4826","USA","2011","DOW US","US2605431038","95","A-",,"Public","AQ*","29043000","9041000","(37.09024, -95.712891)"
"The Chubb Corporation","3293","USA","2011","CB US","US1712321017","42",,,"Public","AQ*",,"14216","(37.09024, -95.712891)"
"Siemens Aktiengesellschaft","16919","Germany","2011","SIE GR","DE0007236101","97","A-",,"Public","AQ*","1387420","1841298","(51.165691, 10.451526)"
"Newmont Mining Corporation","13117","USA","2011","NEM US","US6516391066","88","C",,"Public","AQ*","3048246","1645915","(37.09024, -95.712891)"
"Time Warner Cable Inc.","19120","USA","2011","TWC US","US88732J2078",,,,,"NR",,,"(37.09024, -95.712891)"
"Lowe's Companies, Inc.","11017","USA","2011","LOW US","US5486611073","36",,,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Astellas Pharma Inc.","1051","Japan","2011","4503 JP","JP3942400007","60","D",,"Public","AQ*","457296.87","768341.4","(36.204824, 138.252924)"
"Woolworths Limited","20780","Australia","2011","WOW AU","AU000000WOW2","80","B",,"Public","AQ*","489347","2515808","(-25.274398, 133.775136)"
"Eurasian Natural Resources Corporation","5920","United Kingdom","2011","ENRC LN","GB00B29BCK10",,,,"Not public","DP",,,"(55.378051, -3.435973)"
"eBay Inc.","5197","USA","2011","EBAY US","US2786421030","63","C",,"Public","AQ*","11462","196284","(37.09024, -95.712891)"
"Unibail-Rodamco","19789","France","2011","UL FP","FR0000124711","75","C",,"Public","AQ*","22366","95536","(46.227638, 2.213749)"
"Hess Corporation","8274","USA","2011","HES US","US42809H1077","91","B",,"Public","AQ*","8452627","581438","(37.09024, -95.712891)"
"Nomura Holdings, Inc.","13351","Japan","2011","8604 JP","JP3762600009","66","E",,"Public","AQ*","3650","86455","(36.204824, 138.252924)"
"Deutsche Bank AG","4645","Germany","2011","DBK GR","DE0005140008","82","B",,"Public","AQ*","26643.3","470290.35","(51.165691, 10.451526)"
"ABB","282","Switzerland","2011","ABBN VX","CH0012221716","72","C",,"Public","AQ*","714000","755000","(46.818188, 8.227512)"
"Chevron Corporation","3191","USA","2011","CVX US","US1667641005","86","B",,"Public","AQ*","62136044","4483820","(37.09024, -95.712891)"
"Priceline.Com Inc","22321","USA","2011","PCLN US","US7415034039","12",,,"Public","AQ*",,,"(37.09024, -95.712891)"
"Rio Tinto","15829","United Kingdom","2011","RIO LN","GB0007188757","86","B",,"Public","AQ*","27600000","17000000","(55.378051, -3.435973)"
"ING Group","9033","Netherlands","2011","INGA NA","NL0000303600","64","D",,"Public","AQ*","31587","244783","(52.132633, 5.291266)"
"Motorola Solutions","32491","USA","2011","MSI US","US6200763075","60","E",,"Public","AQ*","15793.85","263440","(37.09024, -95.712891)"
"Emerson Electric Co.","5521","USA","2011","EMR US","US2910111044","24",,,"Public","AQ*",,,"(37.09024, -95.712891)"
"Verizon Communications Inc.","20175","USA","2011","VZ US","US92343V1044","61","C",,"Public","AQ*","567297","5495301","(37.09024, -95.712891)"
"PTT","15297","Thailand","2011","PTT TB","TH0646010007",,,,,"NR",,,"(15.870032, 100.992541)"
"General Mills Inc.","7156","USA","2011","GIS US","US3703341046","64","C",,"Public","AQ*","279484","723042","(37.09024, -95.712891)"
"PKO Bank Polski","14772","Poland","2011","PKO PW","PLPKO0000016",,,,"Not public","DP",,,"(51.919438, 19.145136)"
"Starbucks Corporation","17652","USA","2011","SBUX US","US8552441094","65","C",,"Public","AQ*","209828","804277","(37.09024, -95.712891)"
"Nan Ya Plastics","12674","Taiwan","2011","1303 TT","TW0001303006",,,,,"NR",,,"(23.69781, 120.960515)"
"Oil & Natural Gas","13823","India","2011","ONGC IN","INE213A01029","34",,,"Public","AQ*","8360000","690000","(20.593684, 78.96288)"
"MMC Norilsk Nickel OSJC","7574","Russia","2011","GMKN RU","RU0007288411",,,,"Not public","DP",,,"(61.52401, 105.318756)"
"The Mosaic Company","12382","USA","2011","MOS US","US61945C1036","78","B",,"Public","AQ*","2579616","1589939","(37.09024, -95.712891)"
"Google Inc.","7616","USA","2011","GOOG US","US38259P5089","89","A-",,"Public","AQ*","11126","1226350","(37.09024, -95.712891)"
"Telstra Corporation","18519","Australia","2011","TLS AU","AU000000TLS2","70","D",,"Public","AQ*","81803","1400690","(-25.274398, 133.775136)"
"PACCAR Inc","14169","USA","2011","PCAR US","US6937181088",,,,"Public","DP",,,"(37.09024, -95.712891)"
"Allianz SE","593","Germany","2011","ALV GR","DE0008404005","92","A-","Allianz Group","Public","AQ*","41496","298321","(51.165691, 10.451526)"
"Schneider Electric","16423","France","2011","SU FP","FR0000121972","91","A",,"Public","AQ*","137500","334800","(46.227638, 2.213749)"
"Cummins India","4134","India","2011","KKC IN","INE298A01020",,,"Cummins Inc.",,"SA",,,"(20.593684, 78.96288)"
"Bharti Airtel","1804","India","2011","BHARTI IN","INE397D01024",,,,,"NR",,,"(20.593684, 78.96288)"
"Procter & Gamble Company","15132","USA","2011","PG US","US7427181091","49",,,"Public","AQ*","2795000","3109000","(37.09024, -95.712891)"
"Covidien Ltd.","3943","Ireland","2011","COV US","IE00B68SQD29","48",,,"Public","AQ*","229615","432736.45","(53.41291, -8.24389)"
"KB Financial Group","9979","South Korea","2011","105560 KS","KR7105560007","73","C",,"Public","AQ*","2303","36702","(35.907757, 127.766922)"
"BB&T Corporation","1610","USA","2011","BBT US","US0549371070","58","E",,"Public","AQ*","1643","170423","(37.09024, -95.712891)"
"T. İŞ BANKASI A.Ş.","21134","Turkey","2011","ISCTR TI","TRAISCTR91N2",,,,,"NR",,,"(38.963745, 35.243322)"
"Antofagasta","820","United Kingdom","2011","ANTO LN","GB0000456144","59","E",,"Public","AQ*","529560","764811","(55.378051, -3.435973)"
"Bank Mandiri","22129","Indonesia","2011","BMRI IJ","ID1000095003",,,,,"NR",,,"(-0.789275, 113.921327)"
"Itausa Investimentos Itau S.A.","9577","Brazil","2011","ITSA4 BZ","BRITSAACNPR7","77","C","Itaú Unibanco Holding S.A.","Public","AQ*","443011","104892","(-14.235004, -51.92528)"
"Hong Kong Exchanges & Clearing","8560","Hong Kong","2011","388 HK","HK0388045442","67","C",,"Not public","AQ*",,,"(22.396428, 114.109497)"
"Royal Bank of Canada","15980","Canada","2011","RY CN","CA7800871021","71","D",,"Public","AQ*","33136","169340","(56.130366, -106.346771)"
"NIKE Inc.","13279","USA","2011","NKE US","US6541061031","40",,,"Public","AQ*","6900","65000","(37.09024, -95.712891)"
"Anglo American Platinum","777","South Africa","2011","AMS SJ","ZAE000013181","85","B",,"Public","AQ*","457336","5154402","(-30.559482, 22.937506)"
"ENEL SpA","5574","Italy","2011","ENEL IM","IT0003128367","89","A",,"Public","AQ*","116404742","244996","(41.87194, 12.56738)"
"Westpac Banking Corporation","19051","Australia","2011","WBC AU","AU000000WBC1","96","A",,"Public","AQ*","9573","190592","(-25.274398, 133.775136)"
"Franklin Resources, Inc.","6684","USA","2011","BEN US","US3546131018","62","D",,"Public","AQ*","10362","29587","(37.09024, -95.712891)"
"Charles Schwab Corporation","3133","USA","2011","SCHW US","US8085131055","0",,,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Novolipetskii Metallurgicheski Kombinat (NLMK)","13516","Russia","2011","0153797D RU",,,,,,"NR",,,"(61.52401, 105.318756)"
"Mitsubishi UFJ Financial Group, Inc.","12271","Japan","2011","8306 JP","JP3902900004","74","C",,"Public","AQ*","18317","236545","(36.204824, 138.252924)"
"HSBC Holdings plc","8611","United Kingdom","2011","HSBA LN","GB0005405286","95","A-",,"Public","AQ*","84025","747617","(55.378051, -3.435973)"
"BP","2083","United Kingdom","2011","BP/ LN","GB0007980591","80","B",,"Public","AQ*","64920000","10000000","(55.378051, -3.435973)"
"Cenovus Energy Inc.","29789","Canada","2011","CVE CN","CA15135U1093","78","C",,"Public","AQ*","3996987","949367","(56.130366, -106.346771)"
"Telecom Italia","18415","Italy","2011","TIT IM","IT0003497168","73","B",,"Public","AQ*","146045","828260","(41.87194, 12.56738)"
"American Express","692","USA","2011","AXP US","US0258161092","80","C",,"Public","AQ*","32504.01","189346.55","(37.09024, -95.712891)"
"Suncor Energy Inc.","17929","Canada","2011","SU CN","CA8672241079","92","A-",,"Public","AQ*","17039586","2188938","(56.130366, -106.346771)"
"ICICI Bank Limited","8776","India","2011","ICICIBC IN","INE090A01013","67","E",,"Public","AQ*","2130.54","52675.68","(20.593684, 78.96288)"
"Viacom Inc.","20159","USA","2011","VIAB US","US92553P2011","17",,,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Diageo Plc","4702","United Kingdom","2011","DGE LN","GB0002374006","89","A-",,"Public","AQ*","619161","105348","(55.378051, -3.435973)"
"United Technologies Corporation","19859","USA","2011","UTX US","US9130171096","58","D",,"Public","AQ*","946075","968302","(37.09024, -95.712891)"
"The Kansai Electric Power Co., Inc.","9972","Japan","2011","9503 JP","JP3228600007",,,,"Not public","DP",,,"(36.204824, 138.252924)"
"SANOFI","16299","France","2011","SAN FP","FR0000120578","58","D",,"Public","AQ*","469311","571255","(46.227638, 2.213749)"
"ThyssenKrupp AG","19080","Germany","2011","TKA GR","DE0007500001","67","D",,"Public","AQ*","24085967","4781474","(51.165691, 10.451526)"
"British American Tobacco","2269","United Kingdom","2011","BATS LN","GB0002875804","91","A",,"Public","AQ*","371610","371989","(55.378051, -3.435973)"
"China Construction Bank","3182","China","2011","939 HK","CNE1000002H1",,,,"Public","IN",,,"(35.86166, 104.195397)"
"MTN Group","12546","South Africa","2011","MTN SJ","ZAE000042164","75","D",,"Public","AQ*","744074","378888","(-30.559482, 22.937506)"
"Kumba Iron Ore","10350","South Africa","2011","KIO SJ","ZAE000085346","82","B","Anglo American","Public","AQ*","329906","507567","(-30.559482, 22.937506)"
"Lloyds Banking Group","10781","United Kingdom","2011","LLOY LN","GB0008706128","85","B",,"Public","AQ*","73182","333315","(55.378051, -3.435973)"
"Vinci","20205","France","2011","DG FP","FR0000125486","75","B",,"Public","AQ*","1971500","178500","(46.227638, 2.213749)"
"Express Scripts, Inc.","11623","USA","2011","ESRX US","US30219G1085",,,,,"NR",,,"(37.09024, -95.712891)"
"Amgen, Inc.","716","USA","2011","AMGN US","US0311621009","66","E",,"Public","AQ*","136986","293997","(37.09024, -95.712891)"
"Fanuc Corporation","6204","Japan","2011","6954 JP","JP3802400006",,,,,"NR",,,"(36.204824, 138.252924)"
"Public Storage","15279","USA","2011","PSA US","US74460D1090",,,,,"NR",,,"(37.09024, -95.712891)"
"GDF Suez","7121","France","2011","GSZ FP","FR0010208488","87","B",,"Public","AQ*","109324454","3250751","(46.227638, 2.213749)"
"Walt Disney Company","20384","USA","2011","DIS US","US2546871060","51","C",,"Public","AQ*","550782","914864","(37.09024, -95.712891)"
"Sun Hung Kai Props","17894","Hong Kong","2011","16 HK","HK0016000132",,,,,"NR",,,"(22.396428, 114.109497)"
"CME Group Inc.","3532","USA","2011","CME US","US12572Q1058","7",,,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Barrick Gold Corporation","1536","Canada","2011","ABX CN","CA0679011084","82","B",,"Public","AQ*","2823002","2123279","(56.130366, -106.346771)"
"Walgreen Company","20398","USA","2011","WAG US","US9314221097","66","C",,"Public","AQ*","280991","1971710","(37.09024, -95.712891)"
"Inditex","9031","Spain","2011","ITX SM","ES0148396015","57","D",,"Public","AQ*","22870","309602","(40.463667, -3.74922)"
"Air Products & Chemicals, Inc.","435","USA","2011","APD US","US0091581068","92","A",,"Public","AQ*","14366791","9324484","(37.09024, -95.712891)"
"CLP Holdings Limited","3503","Hong Kong","2011","2 HK","HK0002007356","82","B",,"Public","AQ*","41649000","248000","(22.396428, 114.109497)"
"Koninklijke KPN NV (Royal KPN)","15994","Netherlands","2011","KPN NA","NL0000009082","79","B",,"Public","AQ*","70500","193000","(52.132633, 5.291266)"
"Li & Fung Limited","10686","Hong Kong","2011","494 HK","BMG5485F1692","46",,,"Not public","AQ*",,,"(22.396428, 114.109497)"
"Toshiba Corporation","19197","Japan","2011","6502 JP","JP3592200004","68","C",,"Public","AQ*","570197","1943773","(36.204824, 138.252924)"
"Hang Lung Properties","8058","Hong Kong","2011","101 HK","HK0101000591",,,,,"NR",,,"(22.396428, 114.109497)"
"Holcim Ltd","8525","Switzerland","2011","HOLN VX","CH0012214059","79","C",,"Public","AQ*","102218000","6116034","(46.818188, 8.227512)"
"Atlas Copco","1144","Sweden","2011","ATCOA SS","SE0000101032","72","C",,"Public","AQ*","25000","91000","(60.128161, 18.643501)"
"BM&F Bovespa","22735","Brazil","2011","BVMF3 BZ","BRBVMFACNOR3","81","C",,"Public","AQ*","155.57","1024.1","(-14.235004, -51.92528)"
"Reynolds American Inc.","15774","USA","2011","RAI US","US7617131062","56","D",,"Public","AQ*","117383","192231","(37.09024, -95.712891)"
"Rosneft","15969","Russia","2011","ROSN RM","RU000A0J2Q06",,,,,"NR",,,"(61.52401, 105.318756)"
"Petróleo Brasileiro SA - Petrobras","14654","Brazil","2011","PETR4 BZ","BRPETRACNPR6","81","C",,"Public","AQ*","59957141.51","1256221.84","(-14.235004, -51.92528)"
"Hutchison Whampoa","8682","Hong Kong","2011","13 HK","HK0013000119",,,,,"NR",,,"(22.396428, 114.109497)"
"Duke Energy Corporation","5052","USA","2011","DUK US","US26441C2044","62","C",,"Public","AQ*","90612245",,"(37.09024, -95.712891)"
"DBS Group Holdings","4315","Singapore","2011","DBS SP","SG1L01001701",,,,"Not public","DP",,,"(1.352083, 103.819836)"
"Danone","4311","France","2011","BN FP","FR0000120644","89","A-",,"Public","AQ*","530119","799805","(46.227638, 2.213749)"
"A.P. Moller - Maersk","276","Denmark","2011","MAERSKB DC","DK0010244508","74","C",,"Public","AQ*","38516000","560000","(56.26392, 9.501785)"
"National Grid","12832","United Kingdom","2011","NG/ LN","GB00B08SNH34","63","C",,"Public","AQ*","9328836","329352","(55.378051, -3.435973)"
"AstraZeneca","1104","United Kingdom","2011","AZN LN","GB0009895292","68","C",,"Public","AQ*","385210","294181","(55.378051, -3.435973)"
"Novatek","13542","Russia","2011","NVTK RM","RU000A0DKVS5","33",,,"Public","AQ*","2113024","112767","(61.52401, 105.318756)"
"Ecopetrol Sa","22341","Colombia","2011","ECOPETL CB","COC04PA00016","40",,,"Public","AQ*","5880210","192050","(4.570868, -74.297333)"
"Fresenius Medical Care AG & Co. KGaA","22171","Germany","2011","FME GR","DE0005785802","55","D",,"Not public","AQ*",,,"(51.165691, 10.451526)"
"Tullow Oil","19589","United Kingdom","2011","TLW LN","GB0001500809","50","D",,"Public","AQ*","294531.13",,"(55.378051, -3.435973)"
"BG Group","1785","United Kingdom","2011","BG/ LN","GB0008762899","85","A",,"Public","AQ*","7951198","23549","(55.378051, -3.435973)"
"The Coca-Cola Company","3564","USA","2011","KO US","US1912161007","78","C",,"Public","AQ*","2113413","1246496","(37.09024, -95.712891)"
"Banco Santander Brasil","31393","Brazil","2011","SANB3 BZ","BRSANBACNOR8","67","D",,"Public","AQ*","5541","14020","(-14.235004, -51.92528)"
