"organization","isin","bbid","ticker","hq_country","importance_of_water_quality_and_quantity_direct_indirect_use","importance_of_water_quality_and_quantity_importance_rating","importance_of_water_quality_and_quantity_explanation","evaluated_how_water_could_affect_growth_strategy","experienced_detrimental_impacts_related_to_water_this_year","procedures_to_assess_water_risk","geographic_scale_of_assessments","methods_used_to_assess_water_risks","do_you_require_your_key_suppliers_to_report_on_their_water_use_risks_and_management","organization_exposed_to_water_risk","does_water_present_opportunities","highest_level_of_direct_responsibility_for_water","is_water_integrated_into_business_strategy","does_your_organization_have_a_water_policy","subject_to_penalties_and_or_fines","target_and_or_goals"
"AECI Ltd Ord","ZAE000000220","EQ0013008400001000","AFE SJ","South Africa","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated","Although AECI has engaged in an extensive water use, conservation and demand management assessment, this process has largely focused on obtaining a better understanding of the AECI operations. It is essential that the company focuses on understanding its own risk and required mitigation measures. Once these have been comprehensively addressed, it will more logically feasible to address value chain risk exposures.",,,,,,,,,,,,,
"AECI Ltd Ord","ZAE000000220","EQ0013008400001000","AFE SJ","South Africa","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated","Although AECI has engaged in an extensive water use, conservation and demand management assessment, this process has largely focused on obtaining a better understanding of the AECI operations. It is essential that the company focuses on understanding its own risk and required mitigation measures. Once these have been comprehensively addressed, it will more logically feasible to address value chain risk exposures.",,,,,,,,,,,,,
"Evonik Industries AG","DE000EVNK013","EQ0000000031009802","EVKIF US","Germany",,,,,,,,,,,,,,,,
"Aero Pharma Silvasa",,,,"India","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all",,,,,,,,,,,,,,
"Aero Pharma Silvasa",,,,"India","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important",,,,,,,,,,,,,,
"Aero Pharma Silvasa",,,,"India","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all",,,,,,,,,,,,,,
"AFB International",,,,"USA",,,,"Not evaluated","Don't know","Water risks are not assessed",,,"No","Yes, direct operations only","Don't know",,"No","No","No","No"
"AFB International",,,,"USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"AFB International",,,,"USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Ahlstrom Corporation","FI0009010391","EQ0012529400002000","AHL1V FH","Finland",,,,"Other","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations and supply chain","Yes",,"No","Yes, a company-wide water policy","Don't know","Yes, targets only"
"Ahlstrom Corporation","FI0009010391","EQ0012529400002000","AHL1V FH","Finland","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Most Ahlstrom webforming processes are based on dispersing the fibers in water, i.e. they are so called wet-laid processes.",,,,"Facility","WBCSD Global Water Tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Ahlstrom Corporation","FI0009010391","EQ0012529400002000","AHL1V FH","Finland","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations","Recycled water is used in the processes as much as possible especially in areas of water scarcity.",,,,"Facility",,,,,,,,,
"Ahlstrom Corporation","FI0009010391","EQ0012529400002000","AHL1V FH","Finland","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Majority of the raw materials used are renewable, i.e. plant based, needing water to grow. This water for forest based fiber is however not provided by irrigation, but rain water.",,,,,,,,,,,,,
"ALBRIGHT & WILSON (AUSTRALIA) LTD",,,,"Australia",,,,"Not evaluated","No","Water risks are not assessed",,,"No","No","No",,"Yes","Yes, a company-wide water policy","No","Yes, targets and goals"
"Ahlstrom Corporation","FI0009010391","EQ0012529400002000","AHL1V FH","Finland","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Vital for operations","Our suppliers also need water for their operations, in pulp production as well as in chemical production.",,,,,,,,,,,,,
"Ajinomoto Co.Inc.","JP3119600009","EQ0011329200001000","2802 JP","Japan",,,,"Yes, evaluated over the next 1 year","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations and supply chain","No",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, targets and goals"
"Ajinomoto Co.Inc.","JP3119600009","EQ0011329200001000","2802 JP","Japan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Since the Ajinomoto group is carrying out food manufacture and fermentative production of amino acid, its abundant water is indispensable. 
",,,,"Facility","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Ajinomoto Co.Inc.","JP3119600009","EQ0011329200001000","2802 JP","Japan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all","They are not used in the Ajinomoto group.",,,,"Country","WBCSD Global Water Tool",,,,,,,,
"Ajinomoto Co.Inc.","JP3119600009","EQ0011329200001000","2802 JP","Japan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Since the materials which the Ajinomoto group uses have many agricultural products, the water with sufficient good quantity is indispensable to them.",,,,,,,,,,,,,
"Ajinomoto Co.Inc.","JP3119600009","EQ0011329200001000","2802 JP","Japan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all"," In the Ajinomoto group, they are not using indirect use, either. 
",,,,,,,,,,,,,
"Akamai Technologies Inc","US00971T1016","EQ0039337400001000","AKAM US","USA",,,,"Not evaluated","No","Water risks are not assessed",,,"No","Don't know","No",,"No","No","No","No"
"Akamai Technologies Inc","US00971T1016","EQ0039337400001000","AKAM US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Akamai's direct water use is for leased-office operations only including lavatory, break room kitchen and HVAC facilities.  It is important that fresh drinking water is available for employee health and wellbeing.",,,,,,,,,"No individual or committee with overall responsibility for water",,,,
"Akamai Technologies Inc","US00971T1016","EQ0039337400001000","AKAM US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Akamai's direct water use is for leased-office operations only including lavatory, break room kitchen and HVAC facilities.  It is important that at least recycled water is available for the continued operation of HVAC and lavatory services to ensure employee health and wellbeing.",,,,,,,,,,,,,
"Akamai Technologies Inc","US00971T1016","EQ0039337400001000","AKAM US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Akamai's indirect water use is for our outsourced network data center operations, specifically facility air conditioning, and for the manufacture of our IT/network equipment electronic components.  While not all data center facilities use water for air conditioning, some use refrigerants, a critical number do. Availability of freshwater is vital  for the proper operations of these data centers, and manufacture of IT/network equipment electronic components.",,,,,,,,,,,,,
"Allied Electronics Corporation Ltd (Altron)","ZAE000029658","EQ0000000037590295",,"South Africa",,,,"Yes, evaluated over the next 1 year","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, targets only"
"Akamai Technologies Inc","US00971T1016","EQ0039337400001000","AKAM US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Vital for operations","Akamai's indirect water use is for our outsourced network data center operations, specifically facility air conditioning, and for the manufacture of our IT/network equipment.  While not all data center facilities use water for air conditioning, some use refrigerants, a critical number do.  Availability of recycled water is vital for proper operations of these data centers and manufacture of IT/network equipment electronic components.",,,,,,,,,,,,,
"AkzoNobel","NL0000009132","EQ0011564800001000","AKZA NA","Netherlands",,,,"Yes, evaluated over the next 10 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","Yes, direct operations and supply chain","Yes",,"Yes","Other: Yes, Integrated into resource efficiency strategy","Yes, not significant","Yes, targets and goals"
"AkzoNobel","NL0000009132","EQ0011564800001000","AKZA NA","Netherlands","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Fresh water is  important for employee health and safety, as a raw material for products and other process uses.",,,,"Business unit","Other: AkzoNobel Sustainable Fresh water risk assessment tool",,,,"Senior Manager/Officer",,,,
"AkzoNobel","NL0000009132","EQ0011564800001000","AKZA NA","Netherlands","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Some of our chemical plants have cooling and other applications where lower grade water can be used. Extension of these sources will become more important in areas of freshwater scarcity and to reduce production costs.",,,,"Facility","WBCSD Global Water Tool",,,,,,,,
"AkzoNobel","NL0000009132","EQ0011564800001000","AKZA NA","Netherlands","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Many of our suppliers are chemicals manufacturers – with similar requirements to our own.",,,,"Facility","Internal company knowledge",,,,,,,,
"AkzoNobel","NL0000009132","EQ0011564800001000","AKZA NA","Netherlands","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","Many of our suppliers are chemicals manufacturers – with similar requirements to our own.",,,,"Business unit",,,,,,,,,
"ALBRIGHT & WILSON (AUSTRALIA) LTD",,,,"Australia","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","  Most products contain a substantial quantity of water",,,,,,,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"ALBRIGHT & WILSON (AUSTRALIA) LTD",,,,"Australia","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations"," Cooling systems",,,,,,,,,,,,,
"Dominion Resources, Inc.","US25746U1097","EQ0010046600001000","D US","USA",,,,,,,,"Other: Coordination with resource agencies",,,,,,,,
"ALBRIGHT & WILSON (AUSTRALIA) LTD",,,,"Australia","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations",,,,,,,,,,,,,,
"ALBRIGHT & WILSON (AUSTRALIA) LTD",,,,"Australia","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Vital for operations",,,,,,,,,,,,,,
"Alcoa Inc.","US0138171014","EQ0010004600001000","AA US","USA",,,,"Yes, evaluated over the next 10 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, targets and goals"
"Alcoa Inc.","US0138171014","EQ0010004600001000","AA US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Water is an important raw material for Alcoa, with our refining and ingot-casting processes requiring significant water resources. We work to ensure water efficiency across all of our operations, and we place an even greater focus on conservation in regions where water availability is most sensitive.

",,,,"Region","WBCSD Global Water Tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Alcoa Inc.","US0138171014","EQ0010004600001000","AA US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations","We adapt our approach to water accordingly in regions where drought is a problem. For example, we have evaluated a number of applications that might greatly reduce the evaporation of stored water in our Western Australia refining operations so that more is available for reuse. We also have evaluated secondary sources of water that can be used in our processes and still allow us to meet product quality requirements.
 

",,,,,"Life Cycle Assessment",,,,,,,,
"Alliance One International Inc.",,,,"USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","Our requirement for indirect use of lesser quality water relates primarily to crop production.  Rainwater collected in farm ponds is the primary source and is used for seedling production in nurseries and to a limited extent for field irrigation on some large scale farms.",,,,,,,,,,,,,
"Alcoa Inc.","US0138171014","EQ0010004600001000","AA US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","We are an active participant in WBCSD’s efforts on best practice sharing, technology sharing, and getting member companies focused on charting a worldwide sustainable water course. Specific focus areas include:

Identifying strategic water risks/opportunities;
Establishing a common understanding of the challenges facing businesses; and
Enabling constructive engagement with wider stakeholders through business participation, a shared understanding, and a common language.
",,,,,,,,,,,,,
"Alcoa Inc.","US0138171014","EQ0010004600001000","AA US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","This business collaboration is aimed at addressing some of today’s water challenges:

Rapidly rising demand due to many uses, more users, and expanding urban footprints;
Tightening of more complex supply-demand balances;
Increasing water stress and declining water quality; and
Declining water security for more people, markets, and countries that is exacerbated by concerns regarding food, energy, and climate change.
",,,,,,,,,,,,,
"Alfa Packaging",,,,"India",,,,"Yes, evaluated over the next 1 year","No","Other",,,"No","No","No",,"Yes","Yes, a water policy for select facilities only","No","No"
"Alfa Packaging",,,,"India","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important",,,,,"Facility","Other:",,,,"Senior Manager/Officer",,,,
"Alfa Packaging",,,,"India","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all",,,,,,,,,,,,,,
"Alfa Packaging",,,,"India","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important",,,,,,,,,,,,,,
"Alfa Packaging",,,,"India","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important",,,,,,,,,,,,,,
"Allergan, Inc.","US0184901025","EQ0010003800001000","AGN US","USA",,,,"Yes, evaluated over the next 10 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"Yes","Yes, direct operations only","Yes",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, targets and goals"
"Allergan, Inc.","US0184901025","EQ0010003800001000","AGN US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Water is a key ingredient in the majority of Allergan products.  Allergan sites use large amounts for cooling and other ancillary process support purposes.",,,,"Country","GEMI Local Water Tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Allergan, Inc.","US0184901025","EQ0010003800001000","AGN US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Recycled water is used to irrigate landscaping at Allergan facilities.",,,,"Region","Internal company knowledge",,,,,,,,
"APL Logistics",,,,"USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain",,,,,,,,,,,,,,,
"Automatic Data Processing, Inc.","US0530151036","EQ0010013700001000","ADP US","USA",,,,"Not evaluated","No","Water risks are not assessed",,,"No","No","No",,"No","No","No","No"
"Allergan, Inc.","US0184901025","EQ0010003800001000","AGN US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","The Allergan value chain uses large quantities of water to manufacture product ingredients as well as to manufacture manufacturing aids and product support materials such as packaging, filters, cleaning materials, etc.",,,,"River basin","Life Cycle Assessment",,,,,,,,
"Allergan, Inc.","US0184901025","EQ0010003800001000","AGN US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","The Allergan value chain uses large quantities of water to manufacture product ingredients as well as to manufacture manufacturing aids and product support materials such as packaging, filters, cleaning materials, etc.",,,,"Facility","Regional government databases",,,,,,,,
